ID,X,Y
ID,X,Y
0,542097.75,633254.25
0,542348.9302325582,633212.6511627907
0,542351.3333333334,633226.6666666666
0,542162.2352941176,633311.2941176471
0,542162.2352941176,633311.2941176471
0,542335.4029850747,633427.4029850747
0,542341.3333333334,633321.3055555555
0,542560.1714285715,633440.1714285715
0,542156.0,633472.1176470588
0,542331.6153846154,633482.7307692308
0,542149.0,633152.4285714285
0,542351.6111111111,633159.6666666666
0,542632.7234042553,633594.340425532
0,542632.7234042553,633594.340425532
0,542632.7234042553,633594.340425532
0,542344.7555555556,633264.5333333333
0,542551.7142857143,633332.1428571428
0,542347.3333333334,633278.6666666666
0,542347.3333333334,633278.6666666666
0,542329.2452830189,633535.7735849057
0,542336.0,633413.0
0,542336.0,633413.0
0,542129.0769230769,633523.3846153846
0,542183.4117647059,633420.3529411765
0,542639.6666666666,633940.0
0,542098.875,633203.375
0,542098.875,633203.375
0,542098.875,633203.375
0,542098.875,633203.375
0,542098.875,633203.375
0,542098.875,633203.375
0,542098.875,633203.375
0,542316.8571428572,633687.1428571428
0,542343.0,633334.0
0,542343.0,633334.0
0,542343.0,633334.0
0,542343.0,633334.0
0,542564.4,633359.6
0,542564.4,633359.6
0,542564.4,633359.6
0,542564.4,633359.6
0,542335.0,633442.0
0,542335.0,633442.0
0,542335.0,633442.0
0,542552.0,633573.0
0,542343.0,633308.0
0,542343.0,633308.0
0,542343.0,633308.0
0,542562.0,633365.0
0,542562.0,633365.0
0,542562.0,633365.0
0,542562.0,633365.0
0,542562.0,633365.0
0,542562.0,633365.0
0,542562.0,633365.0
0,542562.0,633365.0
0,542637.0,633936.0
0,542637.0,633936.0
